6	7	11	26	37	57
3	7	10	11	27	46
2	11	19	27	57	60
10	35	43	48	50	53
5	8	29	39	44	60
2	3	32	35	48	57
2	7	10	20	30	46
16	18	38	48	51	60
3	16	17	37	38	53
10	31	38	46	49	54
5	11	24	27	32	57
3	19	25	37	44	56
3	9	25	28	29	39
11	37	53	55	56	60
19	26	39	45	46	56
8	11	22	25	26	36
7	29	38	40	44	52
8	9	32	52	53	57
1	2	14	28	40	51
5	22	30	32	33	36
5	15	28	32	38	54
1	19	41	46	48	55
4	11	19	25	37	55
2	8	34	38	47	51
12	15	23	32	33	46
9	41	42	46	47	54
2	7	9	25	41	49
1	5	12	13	17	31
15	17	20	35	37	43
11	25	32	37	47	56
1	13	27	41	51	58
13	19	29	42	49	52
18	30	32	35	40	48
14	20	21	31	49	52
2	6	11	15	17	39
13	26	31	46	51	60
8	10	51	56	57	58
10	14	15	24	34	44
9	14	22	24	44	47
21	38	50	53	56	59
28	34	40	41	52	55
10	19	46	47	49	50
15	40	44	45	47	51
15	24	33	49	53	59
16	17	18	28	35	47
8	11	16	21	32	37
3	16	23	41	45	57
11	16	31	37	42	51
2	7	24	43	52	56
3	8	23	29	53	54
2	3	13	20	53	54
1	10	19	34	35	45
22	35	41	42	53	57
5	28	30	38	52	55
8	33	40	42	48	51
8	23	29	30	36	55
5	13	18	23	35	36
15	18	28	42	55	60
22	30	38	39	49	56
1	40	44	45	58	60
2	7	32	46	49	55
20	33	37	38	49	50
2	17	23	28	39	46
10	15	17	20	21	35
4	6	9	31	50	56
1	8	21	27	36	37
1	32	35	44	45	57
20	34	38	40	49	54
11	14	36	41	54	59
5	12	32	38	47	60
8	9	17	19	33	56
23	36	42	48	54	58
17	31	34	40	56	57
3	10	13	25	41	42
11	16	17	41	46	59
22	29	38	43	48	53
10	30	31	33	42	52
4	9	37	43	44	56
1	4	10	22	53	54
8	12	14	30	33	41
7	26	31	38	46	58
5	14	23	46	48	52
9	12	26	29	46	47
11	19	38	47	56	59
5	16	25	32	39	55
11	27	32	40	58	59
16	20	21	39	44	55
3	14	16	38	43	45
14	33	41	42	44	55
3	5	19	26	43	51
21	22	29	34	40	44
4	6	12	34	35	53
41	45	48	51	53	58
8	37	39	50	59	60
8	13	25	32	44	57
4	10	15	39	41	49
7	10	34	47	49	52
13	19	21	35	46	50
5	15	24	34	45	52
3	12	19	41	45	54
8	17	49	51	52	53
1	5	6	16	22	39
3	22	23	44	53	60
3	8	20	36	38	57
2	17	22	41	58	60
23	28	33	38	55	59
4	5	25	32	39	40
1	10	27	36	37	45
